$x$,$y$,L,Parameters,R,Simulation,t
-4.0,4.0,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.0
-3.98876690864563,4.0,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.01
-3.9775426387786865,3.9995572566986084,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.02
-3.9663445949554443,3.9986722469329834,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.03
-3.9551901817321777,3.9973466396331787,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.04
-3.944096565246582,3.995582342147827,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.05
-3.9330811500549316,3.993381977081299,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.06
-3.922161102294922,3.9907491207122803,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.07
-3.911353349685669,3.987687826156616,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.08
-3.90067458152771,3.9842028617858887,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.09
-3.890141487121582,3.980299711227417,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.1
-3.875264883041382,3.974109411239624,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.11
-3.8604938983917236,3.9676713943481445,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.12
-3.845832586288452,3.9609875679016113,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.13
-3.831284999847412,3.954059600830078,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.14
-3.8168551921844482,3.946889638900757,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.15
-3.8025472164154053,3.9394795894622803,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.16
-3.788364887237549,3.9318313598632812,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.17
-3.7743124961853027,3.923947334289551,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.18
-3.7603938579559326,3.915829658508301,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.19
-3.746612787246704,3.907480478286743,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.2
-3.7307190895080566,3.897484540939331,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.21
-3.714890956878662,3.8873848915100098,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.22
-3.699129343032837,3.8771817684173584,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.23
-3.6834347248077393,3.8668758869171143,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.24
-3.6678078174591064,3.8564674854278564,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.25
-3.652249336242676,3.8459572792053223,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.26
-3.6367599964141846,3.835345506668091,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.27
-3.62134051322937,3.8246326446533203,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.28
-3.6059913635253906,3.813819169998169,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.29
-3.5907132625579834,3.802905321121216,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.3
-3.5745153427124023,3.7911736965179443,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.31
-3.5583531856536865,3.779393196105957,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.32
-3.542226791381836,3.767563581466675,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.33
-3.5261361598968506,3.755685329437256,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.34
-3.5100817680358887,3.743758201599121,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.35000000000000003
-3.49406361579895,3.7317826747894287,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.36
-3.478081703186035,3.7197585105895996,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.37
-3.4621362686157227,3.707685947418213,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.38
-3.446227550506592,3.6955652236938477,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.39
-3.4303555488586426,3.683396339416504,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.4
-3.414520502090454,3.6711792945861816,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.41000000000000003
-3.3987035751342773,3.6589388847351074,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.42
-3.3829047679901123,3.6466751098632812,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.43
-3.367124080657959,3.6343882083892822,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.44
-3.3513615131378174,3.6220779418945312,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.45
-3.3356173038482666,3.6097443103790283,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.46
-3.3198912143707275,3.5973875522613525,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.47000000000000003
-3.3041834831237793,3.585007429122925,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.48
-3.288494110107422,3.572604179382324,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.49
-3.272822856903076,3.560177803039551,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5
-3.2571702003479004,3.5477283000946045,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.51
-3.241529941558838,3.5352630615234375,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.52
-3.2259023189544678,3.52278208732605,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.53
-3.210287094116211,3.5102853775024414,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.54
-3.1946845054626465,3.4977729320526123,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.55
-3.1790945529937744,3.4852447509765625,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.56
