$x$,$y$,L,Parameters,R,Simulation,t
1.0,1.0,14.0,"R = 3.25, L = 14",3.25,0.0,0.0
-1.0,1.0,14.0,"R = 3.25, L = 14",3.25,1.0,0.0
-1.0,-1.0,14.0,"R = 3.25, L = 14",3.25,2.0,0.0
1.0,-1.0,14.0,"R = 3.25, L = 14",3.25,3.0,0.0
1.0,0.9900000095367432,14.0,"R = 3.25, L = 14",3.25,0.0,0.01
-1.0,0.9900000095367432,14.0,"R = 3.25, L = 14",3.25,1.0,0.01
-1.0,-0.9900000095367432,14.0,"R = 3.25, L = 14",3.25,2.0,0.01
1.0,-0.9900000095367432,14.0,"R = 3.25, L = 14",3.25,3.0,0.01
0.9996073842048645,0.9800077080726624,14.0,"R = 3.25, L = 14",3.25,0.0,0.02
-0.9996073842048645,0.9800077080726624,14.0,"R = 3.25, L = 14",3.25,1.0,0.02
-0.9996073842048645,-0.9800077080726624,14.0,"R = 3.25, L = 14",3.25,2.0,0.02
0.9996073842048645,-0.9800077080726624,14.0,"R = 3.25, L = 14",3.25,3.0,0.02
0.998822808265686,0.9700385332107544,14.0,"R = 3.25, L = 14",3.25,0.0,0.03
-0.998822808265686,0.9700385332107544,14.0,"R = 3.25, L = 14",3.25,1.0,0.03
-0.998822808265686,-0.9700385332107544,14.0,"R = 3.25, L = 14",3.25,2.0,0.03
0.998822808265686,-0.9700385332107544,14.0,"R = 3.25, L = 14",3.25,3.0,0.03
0.9976474046707153,0.9601078629493713,14.0,"R = 3.25, L = 14",3.25,0.0,0.04
-0.9976474046707153,0.9601078629493713,14.0,"R = 3.25, L = 14",3.25,1.0,0.04
-0.9976474046707153,-0.9601078629493713,14.0,"R = 3.25, L = 14",3.25,2.0,0.04
0.9976474046707153,-0.9601078629493713,14.0,"R = 3.25, L = 14",3.25,3.0,0.04
0.9960830807685852,0.9502309560775757,14.0,"R = 3.25, L = 14",3.25,0.0,0.05
-0.9960830807685852,0.9502309560775757,14.0,"R = 3.25, L = 14",3.25,1.0,0.05
-0.9960830807685852,-0.9502309560775757,14.0,"R = 3.25, L = 14",3.25,2.0,0.05
