sxe,sye,delta,ve,psi_e,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.968125870916992426e-04,2.590229851193726063e-04,2.694333088584244251e-04,-2.694333037487004479e-01,9.997305666962512660e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.405290065614069828e-03,8.413253788313642539e-03
2.584457661214401014e-07,2.694403292480274104e-06,3.936251741833984852e-04,5.180459702387452126e-04,5.396297783590853214e-04,-2.694333037487004479e-01,9.994611333925025320e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.081284674576753896e-02,1.682505090610765183e-02
7.746112942186300643e-07,8.091050403891131282e-06,5.904377903789281845e-04,7.770689553581178188e-04,8.105895249173045158e-04,-2.694333037487004479e-01,9.991917000887537981e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.622266964790258781e-02,2.523539074273346491e-02
1.546814928587991744e-06,1.619778413441963494e-05,7.872503483667969704e-04,1.036091940477490425e-03,1.082312548533082008e-03,-2.694333037487004479e-01,9.989222667850050641e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.163475837929688603e-02,3.364427268764830919e-02
2.572418907220708206e-06,2.702244455576874316e-05,9.840629063546657562e-04,1.295114867389202118e-03,1.354798790998756886e-03,-2.694333037487004479e-01,9.986528334812563301e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.704911254706361332e-02,4.205169613041524757e-02
3.851645033137174323e-06,4.057287515024654567e-05,1.180875464342534542e-03,1.554137794300913811e-03,1.628048368729650974e-03,-2.694333037487004479e-01,9.983834001775075961e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.246573175815149759e-02,5.045766046070322003e-02
5.381851224228739738e-06,5.685692303813993931e-05,1.377688022330403328e-03,1.813160721212625504e-03,1.902061398141086102e-03,-2.694333037487004479e-01,9.981139668737588622e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.788461561934482885e-02,5.886216506828709227e-02
7.161347184592159465e-06,7.588242442579939961e-05,1.574500580318272114e-03,2.072183648124337196e-03,2.176837762817740440e-03,-2.694333037487004479e-01,9.978445335700101282e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.330576373726350431e-02,6.726520934304769384e-02
9.189394404529593885e-06,9.765722643351182342e-05,1.771313138306140900e-03,2.331206575036048889e-03,2.452377695590257645e-03,-2.694333037487004479e-01,9.975751002662613942e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.872917571836304224e-02,7.566679267497186667e-02
1.146429895015899092e-05,1.221891725435853004e-04,1.923885429278016090e-03,2.575005171820521355e-03,2.728681080043315887e-03,-2.694333037487004479e-01,9.973056669625126602e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.415485116893462014e-02,8.406691445415251374e-02
1.396910465700784698e-05,1.494860625825822353e-04,2.076457720249891281e-03,2.818803768604993820e-03,3.005576319992542267e-03,-2.694333037487004479e-01,9.970362336587639263e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.958278969510510253e-02,9.246557407078861979e-02
1.670211349846795201e-05,1.795540156308561563e-04,2.229030011221766472e-03,3.062602365389466286e-03,3.283063648268580437e-03,-2.694333037487004479e-01,9.967668003550151923e-01,1.000000000000000000e+01,0.000000000000000000e+00,6.501299090283706172e-02,1.008627709151853485e-01
1.966257877938915044e-05,2.123991434928029776e-04,2.381602302193641663e-03,3.306400962173938751e-03,3.561142832040786743e-03,-2.694333037487004479e-01,9.964973670512664583e-01,1.000000000000000000e+01,0.000000000000000000e+00,7.044545439792881947e-02,1.092585043777540288e-01
2.284879883518442512e-05,2.480275579728186131e-04,2.534174593165516853e-03,3.550199558958411217e-03,3.839814104139804840e-03,-2.694333037487004479e-01,9.962279337475177243e-01,1.000000000000000000e+01,0.000000000000000000e+00,7.588017978601446778e-02,1.176527738490122238e-01
2.625811430334579200e-05,2.864453999791294336e-04,2.686746884137392044e-03,3.793998155742883682e-03,4.119077231734991074e-03,-2.694333037487004479e-01,9.959585004437689904e-01,1.000000000000000000e+01,0.000000000000000000e+00,8.131716667256390363e-02,1.260455787195837729e-01
2.988977576023899019e-05,3.276587522123008966e-04,2.839319175109267235e-03,4.037796985357999802e-03,4.398932680487632751e-03,-2.694333037487004479e-01,9.956890671400202564e-01,1.000000000000000000e+01,0.000000000000000000e+00,8.675641466288283588e-02,1.344369183801988610e-01
