sxe,sye,delta,ve,psi_e,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.968125870916992426e-04,2.590229851193726063e-04,-1.499999825682607479e-06,1.499999750000012523e-03,1.000001499999749965e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.403010436612651173e-03,8.414717952602736653e-03
2.593994281596678775e-07,-1.500038848689655424e-08,3.936251741833984852e-04,5.180459702387452126e-04,-3.736817006938508712e-06,2.999998000000400102e-03,1.000004499997749985e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.080599562906395944e-02,1.682945211418811204e-02
7.772445655973569956e-07,-5.237166078586596996e-08,5.904377903789281845e-04,7.770689553581178188e-04,-6.710409252264071256e-06,4.499993250003038112e-03,1.000008999991000014e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.620894295521363437e-02,2.524421058908518298e-02
1.554488903821038548e-06,-1.194856338315730682e-07,7.872503483667969704e-04,1.036091940477490425e-03,-1.042073199641890824e-05,5.999984000012800398e-03,1.000014999975000096e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.161183979284984208e-02,3.365900148142830089e-02
2.590178382888552733e-06,-2.237154035356070381e-07,9.840629063546657562e-04,1.295114867389202118e-03,-1.486773908254690468e-05,7.499968750039062194e-03,1.000022499943750143e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.701467351966536576e-02,4.207383289509219332e-02
3.885266323777614161e-06,-3.724353518919087946e-07,1.180875464342534542e-03,1.554137794300913811e-03,-2.005138412641827017e-05,8.999946000097200013e-03,1.000031499889750153e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.241743151323375760e-02,5.048871293362707652e-02
5.439751475933007896e-06,-5.730211682930530515e-07,1.377688022330403328e-03,1.813160721212625504e-03,-2.597161801531910896e-05,1.049991425021008784e-02,1.000041999804000437e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.782010115098549674e-02,5.890364970019374563e-02
7.252679552038898692e-06,-8.328497642651200294e-07,1.574500580318272114e-03,2.072183648124337196e-03,-3.262839163653552532e-05,1.199987200040959941e-02,1.000053999676000949e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.322266981018416110e-02,6.731865129749865784e-02
9.325002793048042804e-06,-1.159299245045986027e-06,1.771313138306140900e-03,2.331206575036048889e-03,-4.002165223937481642e-05,1.349981775073811480e-02,1.000067499493751733e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.862512486790260269e-02,7.573372582772906758e-02
1.165576577477622777e-05,-1.559748966428742278e-06,1.957341795787215233e-03,2.584146568551659584e-03,-4.815134525415487587e-05,1.499975000124999583e-02,1.000082499243752920e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.402745370099909517e-02,8.414888139248806465e-02
1.424019774276530370e-05,-2.041579136857762933e-06,2.143370453268289566e-03,2.837086562067270279e-03,-5.705924559151753783e-05,1.649966725201313170e-02,1.000098998911004955e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.942964368609354037e-02,9.256412609272972325e-02
1.707734190858900547e-05,-2.612589923955965787e-06,2.329399110749363899e-03,3.090026555582880974e-03,-6.674529868178069592e-05,1.799956800311039093e-02,1.000116998479008146e+00,1.000000000000000000e+01,0.000000000000000000e+00,6.483168219954363320e-02,1.009794680286941748e-01
2.016719554376322776e-05,-3.280582177467294969e-06,2.515427768230438232e-03,3.342966549098491669e-03,-7.720945723121985793e-05,1.949945075464114622e-02,1.000136497929762891e+00,1.000000000000000000e+01,0.000000000000000000e+00,7.023355661742106126e-02,1.093949152998427155e-01
2.350975591980386525e-05,-4.053358225064584985e-06,2.701456425711512566e-03,3.595906542614102364e-03,-8.845166303217411041e-05,2.099931400672276627e-02,1.000157497243769678e+00,1.000000000000000000e+01,0.000000000000000000e+00,7.563525431548771827e-02,1.178104760047928856e-01
2.710597073019016534e-05,-4.938721758662723005e-06,2.887485083192586899e-03,3.848846536129713058e-03,-1.004718506010249257e-04,2.249915625949213543e-02,1.000179996400029081e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.103676266917188287e-02,1.262261582412535776e-01
