# sxe,sye,delta,ve,psi_e,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.673445269465446472e-04,-2.673445120596633640e-01,9.997326554879403249e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.405272492067687840e-03,8.413265078820255510e-03
0.000000000000000000e+00,2.673445351319969632e-06,0.000000000000000000e+00,0.000000000000000000e+00,5.346890538930892944e-04,-2.673445120596633640e-01,9.994653109758806497e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.081279403119014999e-02,1.682508478705976862e-02
-1.668405302801545531e-09,8.020336281333584338e-06,0.000000000000000000e+00,0.000000000000000000e+00,8.020335808396339417e-04,-2.673445120596633640e-01,9.991979664638209746e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.622256423087512639e-02,2.523545852349980828e-02
-6.673621655295391975e-09,1.604067074367776513e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.069378107786178589e-03,-2.673445120596633640e-01,9.989306219517612995e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.163458270446963483e-02,3.364438568702499827e-02
-1.668405502641689964e-08,2.673444760148413479e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.336722634732723236e-03,-2.673445120596633640e-01,9.986632774397016243e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.704884906516000914e-02,4.205186567662334840e-02
-3.241443380375130801e-08,4.010166594525799155e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.604067161679267883e-03,-2.673445120596633640e-01,9.983959329276419492e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.246536292597190787e-02,5.045789789138629966e-02
-5.553316029249799612e-08,5.614232213702052832e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.871411688625812531e-03,-2.673445120596633640e-01,9.981285884155822741e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.788412389977036804e-02,5.886248173050877969e-02
-8.770864212692686124e-08,7.485641253879293799e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.138756215572357178e-03,-2.673445120596633640e-01,9.978612439035225989e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.330513159925980515e-02,6.726561659328922360e-02
-1.306092798358804430e-07,9.624393715057522058e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.406100742518901825e-03,-2.673445120596633640e-01,9.975938993914629238e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.872838563698406872e-02,7.566730187912965033e-02
-1.849497976991187898e-07,1.203048886964097619e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.673445269465446472e-03,-2.673445120596633640e-01,9.973265548794032487e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.415388562532644223e-02,8.406753698753566262e-02
-2.533522547309985384e-07,1.470392599003389478e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.940789796411991119e-03,-2.673445120596633640e-01,9.970592103673435735e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.958163117650968482e-02,9.246632131811652333e-02
-3.355777380420477130e-07,1.764470507623627782e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.208134323358535767e-03,-2.673445120596633640e-01,9.967918658552838984e-01,1.000000000000000000e+01,0.000000000000000000e+00,6.501162190259607288e-02,1.008636542705851763e-01
-4.342483066466229502e-07,2.085282467305660248e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.475478850305080414e-03,-2.673445120596633640e-01,9.965245213432242233e-01,1.000000000000000000e+01,0.000000000000000000e+00,7.044385741548739310e-02,1.092595352447583157e-01
-5.500786528500611894e-07,2.432828478049486876e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.742823377251625061e-03,-2.673445120596633640e-01,9.962571768311645481e-01,1.000000000000000000e+01,0.000000000000000000e+00,7.587833732692500499e-02,1.176539636405563860e-01
