px,py,pz,vx,vy,vz
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.000000000000000000e+00
5.004999999999999449e-01,5.004999999999999449e-01,4.989999999999999991e-01,5.027913173316940210e-01,4.980846260663812086e-01,-1.007285447466448547e+00
5.010027913173316083e-01,5.009980846260663201e-01,4.979927145525335774e-01,5.055509671968325680e-01,4.961854697542967818e-01,-1.014550836634538600e+00
5.015083422845284522e-01,5.014942700958205934e-01,4.969781637158990351e-01,5.082792275136651661e-01,4.943024228868411751e-01,-1.021796187991480975e+00
5.020166215120420716e-01,5.019885725187074321e-01,4.959563675279075601e-01,5.109763691972292188e-01,4.924353784254099087e-01,-1.029021519150484343e+00
5.025275978812393518e-01,5.024810078971327920e-01,4.949273460087570964e-01,5.136466198768073754e-01,4.905807252383949657e-01,-1.036229076452236164e+00
5.030412445011162026e-01,5.029715886223712351e-01,4.938911169323048633e-01,5.162913766559935613e-01,4.887373451328418383e-01,-1.043419529879171970e+00
5.035575358777721888e-01,5.034603259675041187e-01,4.928476974024256774e-01,5.189108256497106941e-01,4.869051901959834394e-01,-1.050592873385934212e+00
5.040764467034218876e-01,5.039472311577001262e-01,4.917971045290397414e-01,5.215051525178497904e-01,4.850842125678504480e-01,-1.057749099038146179e+00
5.045979518559396970e-01,5.044323153702680029e-01,4.907393554300015781e-01,5.240745386510246018e-01,4.832743650372818278e-01,-1.064888199875801078e+00
5.051220263945906952e-01,5.049155897353052591e-01,4.896744672301257539e-01,5.266191678515118602e-01,4.814755992530045936e-01,-1.072010169912047894e+00
5.056486455624421561e-01,5.053970653345583042e-01,4.886024570602137129e-01,5.291392191775647902e-01,4.796878684072978238e-01,-1.079115004131980138e+00
5.061777847816196774e-01,5.058767532029656566e-01,4.875233420560817210e-01,5.316348719560181069e-01,4.779111243134659404e-01,-1.086202694676726477e+00
5.067094196535757433e-01,5.063546643272791581e-01,4.864371393614049799e-01,5.341063050665839640e-01,4.761453203878242557e-01,-1.093273236569055840e+00
5.072435259586423051e-01,5.068308096476670244e-01,4.853438661248359320e-01,5.365536936044378313e-01,4.743904092039348819e-01,-1.100326623895082401e+00
5.077800796522466964e-01,5.073052000568709641e-01,4.842435395009408450e-01,5.389772155605569992e-01,4.726463446990615824e-01,-1.107362849805439309e+00
5.083190568678072063e-01,5.077778464015699766e-01,4.831361766511353961e-01,5.413770427580844036e-01,4.709130787750299696e-01,-1.114381910331149639e+00
5.088604339105653462e-01,5.082487594803449804e-01,4.820217947408042547e-01,5.437533487277401711e-01,4.691905646982659217e-01,-1.121383800565332267e+00
5.094041872592930398e-01,5.087179500450432768e-01,4.809004109402389426e-01,5.461063053677186474e-01,4.674787562636548710e-01,-1.128368514664377154e+00
5.099502935646607060e-01,5.091854288013069052e-01,4.797720424255745852e-01,5.484360822303641081e-01,4.657776070190502438e-01,-1.135336047756467792e+00
5.104987296468910252e-01,5.096512064083259519e-01,4.786367063778181330e-01,5.507428489091812374e-01,4.640870700867973930e-01,-1.142286394986695708e+00
5.110494724958002388e-01,5.101152934784127790e-01,4.774944199828314306e-01,5.530267738465836080e-01,4.624070995352016489e-01,-1.149219551517042914e+00
5.116024992696468487e-01,5.105777005779479349e-01,4.763452004313143973e-01,5.552880217126217044e-01,4.607376484700266839e-01,-1.156135513480037735e+00
5.121577872913595231e-01,5.110384382264179237e-01,4.751890649178343584e-01,5.575267593700574675e-01,4.590786716583310501e-01,-1.163034277023869967e+00
5.127153140507295648e-01,5.114975168980762099e-01,4.740260306408105029e-01,5.597431501494730677e-01,4.574301226057932435e-01,-1.169915837358699751e+00
5.132750572008790702e-01,5.119549470206820052e-01,4.728561148034517991e-01,5.619373579066978541e-01,4.557919554656658656e-01,-1.176780190665181358e+00
5.138369945587857313e-01,5.124107389761476394e-01,4.716793346127866049e-01,5.641095446378626699e-01,4.541641243227395042e-01,-1.183627333139578797e+00
5.144011041034235454e-01,5.128649031004703929e-01,4.704957072796470130e-01,5.662598711968774845e-01,4.525465834318757596e-01,-1.190457260993748045e+00
5.149673639746203957e-01,5.133174496839022494e-01,4.693052500186532527e-01,5.683884965815014789e-01,4.509392872178235590e-01,-1.197269972362469126e+00
5.155357524712018691e-01,5.137683889711200935e-01,4.681079800462907836e-01,5.704955781739809995e-01,4.493421905134542538e-01,-1.204065462055835756e+00
5.161062480493758819e-01,5.142177311616334956e-01,4.669039145842349692e-01,5.725812738887356979e-01,4.477552479632335158e-01,-1.210843727285458415e+00
5.166788293232645879e-01,5.146654864095967508e-01,4.656930708569494981e-01,5.746457407410833218e-01,4.461784144407179853e-01,-1.217604765277280343e+00
5.172534750640056522e-01,5.151116648240374740e-01,4.644754660916722289e-01,5.766891319872408106e-01,4.446116446906694386e-01,-1.224348573748397673e+00
5.178301641959929258e-01,5.155562764687281474e-01,4.632511175179238050e-01,5.787116023741337711e-01,4.430548938656861391e-01,-1.231075149475936215e+00
5.184088757983670304e-01,5.159993313625937938e-01,4.620200423684478475e-01,5.807133028922275564e-01,4.415081169296748986e-01,-1.237784490205576571e+00
5.189895891012592521e-01,5.164408394795234614e-01,4.607822578782422851e-01,5.826943876942647371e-01,4.399712691945571463e-01,-1.244476593219833394e+00
5.195722834889535680e-01,5.168808107487180559e-01,4.595377812850224286e-01,5.846550069386592385e-01,4.384443058430250173e-01,-1.251151456769148185e+00
5.201569384958921738e-01,5.173192550545611113e-01,4.582866298282533002e-01,5.865953089401602094e-01,4.369271828228006860e-01,-1.257809078640168554e+00
5.207435338048322926e-01,5.177561822373839551e-01,4.570288207496131516e-01,5.885154420794105334e-01,4.354198555940106963e-01,-1.264449456156329532e+00
5.213320492469116774e-01,5.181916020929779876e-01,4.557643712934568159e-01,5.904155528954226906e-01,4.339222799046836276e-01,-1.271072589039457412e+00
5.219224647998070843e-01,5.186255243728826736e-01,4.544932987044173478e-01,5.922957896640661524e-01,4.324344115519996312e-01,-1.277678474638400674e+00
5.225147605894711056e-01,5.190579587844347254e-01,4.532156202297789593e-01,5.941562959585022785e-01,4.309562066802801739e-01,-1.284267111746694834e+00
5.231089168854295979e-01,5.194889149911150472e-01,4.519313531180322863e-01,5.959972156617600048e-01,4.294876207076981922e-01,-1.290838499170245957e+00
5.237049141010913234e-01,5.199184026118227608e-01,4.506405146188620647e-01,5.978186927278396068e-01,4.280286107113992489e-01,-1.297392635727316001e+00
5.243027327938191151e-01,5.203464312225342114e-01,4.493431219831347523e-01,5.996208678436729667e-01,4.265791326836421149e-01,-1.303929519771671375e+00
5.249023536616628238e-01,5.207730103552178358e-01,4.480391924633631007e-01,6.014038824862333321e-01,4.251391429040888292e-01,-1.310449151577349980e+00
5.255037575441490194e-01,5.211981494981219321e-01,4.467287433117857476e-01,6.031678762988544884e-01,4.237085981182869832e-01,-1.316951529998401149e+00
5.261069254204479018e-01,5.216218580962401763e-01,4.454117917817873584e-01,6.049129887623643231e-01,4.222874544642312711e-01,-1.323436653424335363e+00
5.267118384092103200e-01,5.220441455507044415e-01,4.440883551283630326e-01,6.066403121542602861e-01,4.208762128556499671e-01,-1.329904353364537606e+00
5.273184787213646141e-01,5.224650217635601335e-01,4.427584507749984799e-01,6.083508131823530674e-01,4.194753019293553375e-01,-1.336354482053894621e+00
5.279268295345469486e-01,5.228844970654894508e-01,4.414220962929445990e-01,6.100445918976954429e-01,4.180846590550268971e-01,-1.342787044987721279e+00
5.285368741264446779e-01,5.233025817245444689e-01,4.400793092479568513e-01,6.117217475216017997e-01,4.167042222701806686e-01,-1.349202047665528870e+00
5.291485958739662321e-01,5.237192859468146056e-01,4.387301072002913194e-01,6.133823789234593704e-01,4.153339296833273298e-01,-1.355599495591017112e+00
5.297619782528897314e-01,5.241346198764978981e-01,4.373745077047003216e-01,6.150265848595243279e-01,4.139737200103640324e-01,-1.361979394748901395e+00
5.303770048377492996e-01,5.245485935965082946e-01,4.360125283099514082e-01,6.166544618272339351e-01,4.126235319778077670e-01,-1.368341750650634792e+00
5.309936592995765370e-01,5.249612171284860906e-01,4.346441865593007603e-01,6.182661093131767149e-01,4.112833048890644494e-01,-1.374686569765506405e+00
5.316119254088896851e-01,5.253725004333751336e-01,4.332694999895352339e-01,6.198616226367377191e-01,4.099529779084906123e-01,-1.381013858565766972e+00
5.322317870315264043e-01,5.257824534112836012e-01,4.318884861309694734e-01,6.214410955778496559e-01,4.086324911344889066e-01,-1.387323621619271474e+00
5.328532281271042281e-01,5.261910859024181430e-01,4.305011625093502214e-01,6.230046268161593126e-01,4.073217843466807042e-01,-1.393615867313902523e+00
5.334762327539204207e-01,5.265984076867648023e-01,4.291075466420363194e-01,6.245523089575885090e-01,4.060207979600163331e-01,-1.399890600223396619e+00
5.341007850628780584e-01,5.270044284847248406e-01,4.277076560418129336e-01,6.260842623973034149e-01,4.047295323902440622e-01,-1.406147935076187627e+00
5.347268693252753557e-01,5.274091580171150762e-01,4.263015081067367262e-01,6.276006803460277839e-01,4.034481532705420093e-01,-1.412388284491535639e+00
5.353544700056214189e-01,5.278126061703856120e-01,4.248891198222451981e-01,6.291016537397010611e-01,4.021766028313032981e-01,-1.418611657656425606e+00
5.359835716593611687e-01,5.282147827732168732e-01,4.234705081645887548e-01,6.305872753177158563e-01,4.009148232198924688e-01,-1.424818063757051556e+00
5.366141589346788976e-01,5.286156975964367843e-01,4.220456901008317052e-01,6.320576381900981922e-01,3.996627569180078998e-01,-1.431007511501971363e+00
5.372462165728689731e-01,5.290153603533548354e-01,4.206146825893297136e-01,6.335128322607144202e-01,3.984203471883079328e-01,-1.437180010076363201e+00
5.378797294051297362e-01,5.294137807005431240e-01,4.191775025792533471e-01,6.349529480459465969e-01,3.971875366130578344e-01,-1.443335569141390939e+00
5.385146823531756777e-01,5.298109682371562323e-01,4.177341670101119564e-01,6.363780771512596024e-01,3.959642683447952005e-01,-1.449474197402474296e+00
5.391510604303269005e-01,5.302069325055009941e-01,4.162846928127094670e-01,6.377931959857514599e-01,3.947334683616550710e-01,-1.455590231582366778e+00
5.397888536263126813e-01,5.306016659738626018e-01,4.148291025811270960e-01,6.392368351708757057e-01,3.933606771425803839e-01,-1.461636059678723232e+00
5.404280904614835457e-01,5.309950266510051753e-01,4.133674665214483457e-01,6.407088337734351269e-01,3.918454359285756250e-01,-1.467606236391495900e+00
5.410687992952569747e-01,5.313868720869338036e-01,4.118998602850568735e-01,6.422089643615420673e-01,3.901876199621093777e-01,-1.473495239139901658e+00
5.417110082596184872e-01,5.317770597068959271e-01,4.104263650459169521e-01,6.437369255883452768e-01,3.883874526402461003e-01,-1.479297497003259076e+00
5.423547451852068768e-01,5.321654471595361757e-01,4.089470675489136897e-01,6.452923431974850743e-01,3.864455196830025030e-01,-1.485007426294142174e+00
5.430000375284043113e-01,5.325518926792192076e-01,4.074620601226195404e-01,6.468747679459240230e-01,3.843627765790740836e-01,-1.490619461434123494e+00
5.436469122963502043e-01,5.329362554557982579e-01,4.059714406611854010e-01,6.484836749329575545e-01,3.821405548970783217e-01,-1.496128092229571882e+00
5.442953959712831802e-01,5.333183960106953059e-01,4.044753125689558027e-01,6.501184658472053401e-01,3.797805634080800852e-01,-1.501527899198718208e+00
5.449455144371303517e-01,5.336981765741033445e-01,4.029737846697570847e-01,6.517784697509941827e-01,3.772848845395770367e-01,-1.506813589626376793e+00
5.455972929068813038e-01,5.340754614586429305e-01,4.014669710801306857e-01,6.534629446594891755e-01,3.746559668396738374e-01,-1.511980032962566778e+00
5.462507558515408146e-01,5.344501174254826514e-01,3.999549910471681402e-01,6.551710799757413106e-01,3.718966136848074755e-01,-1.517022294906094082e+00
5.469059269315165173e-01,5.348220140391674038e-01,3.984379687522620617e-01,6.569020025997439616e-01,3.690099682030676953e-01,-1.521935670009548103e+00
5.475628289341162303e-01,5.351910240073705083e-01,3.969160330822525395e-01,6.586547806594968968e-01,3.659994926096312162e-01,-1.526715709947882971e+00
5.482214837147757480e-01,5.355570234999801338e-01,3.953893173723046495e-01,6.604258524742349090e-01,3.628699979204556003e-01,-1.531355170160535240e+00
5.488819095672500259e-01,5.359198934979005902e-01,3.938579622021441407e-01,6.622132158961627768e-01,3.596260348964583908e-01,-1.535849189009077298e+00
5.495441227831462383e-01,5.362795195327970665e-01,3.923221130131350765e-01,6.640157292402903977e-01,3.562720491625914199e-01,-1.540194356349418703e+00
5.502081385123864798e-01,5.366357915819596203e-01,3.907819186567856318e-01,6.658322222639004861e-01,3.528126906825493903e-01,-1.544387618794358152e+00
5.508739707346503867e-01,5.369886042726421671e-01,3.892375310379912468e-01,6.676614956738412543e-01,3.492527808441386883e-01,-1.548426285510611233e+00
5.515416322303242636e-01,5.373378570534863563e-01,3.876891047524806400e-01,6.695023328882754310e-01,3.455972814437550111e-01,-1.552308033915060559e+00
5.522111345632125801e-01,5.376834543349301443e-01,3.861367967185656003e-01,6.713535055019128617e-01,3.418512620127056589e-01,-1.556030913191420728e+00
5.528824880687145393e-01,5.380253055969428377e-01,3.845807658053742029e-01,6.732137776388046335e-01,3.380198670470317412e-01,-1.559593339974421733e+00
5.535557018463533874e-01,5.383633254639899057e-01,3.830211724653997951e-01,6.750819155896112811e-01,3.341082865731928031e-01,-1.562994094795860933e+00
5.542307837619430133e-01,5.386974337505631150e-01,3.814581783706039175e-01,6.769566927925261268e-01,3.301217280229359341e-01,-1.566232308771177584e+00
5.549077404547355652e-01,5.390275554785860512e-01,3.798919460618327415e-01,6.788368909425549491e-01,3.260653857590397053e-01,-1.569307456144690027e+00
5.555865773456780676e-01,5.393536208643451291e-01,3.783226386056880441e-01,6.807213127593627622e-01,3.219444190820733298e-01,-1.572219337364152647e+00
5.562672986584373813e-01,5.396755652834271944e-01,3.767504192683238662e-01,6.826087802262896798e-01,3.177639274887398280e-01,-1.574968063311752431e+00
5.569499074386636828e-01,5.399933292109159177e-01,3.751754512050121115e-01,6.844981410641791664e-01,3.135289313543581091e-01,-1.577554037275073151e+00
5.576344055797278765e-01,5.403068581422703076e-01,3.735978971677370586e-01,6.863882709591102582e-01,3.092443517785605223e-01,-1.579977936537174665e+00
5.583207938506870027e-01,5.406161024940489002e-01,3.720179192311998673e-01,6.882780793477027981e-01,3.049149967126491001e-01,-1.582240691554542833e+00
5.590090719300346844e-01,5.409210174907616020e-01,3.704356785396453189e-01,6.901665067899138695e-01,3.005455472481798895e-01,-1.584343465824846531e+00
5.596992384368245643e-01,5.412215630380098341e-01,3.688513350738204521e-01,6.920525333391612799e-01,2.961405462539133393e-01,-1.586287635290735354e+00
5.603912909701637135e-01,5.415177035842637654e-01,3.672650474385297237e-01,6.939351731455102312e-01,2.917043892555072904e-01,-1.588074769260844343e+00
5.610852261433092458e-01,5.418094079735192858e-01,3.656769726692689071e-01,6.958134849880793782e-01,2.872413183887114752e-01,-1.589706610217505700e+00
5.617810396282972851e-01,5.420966492919080393e-01,3.640872660590513954e-01,6.976865593877842331e-01,2.827554159960863900e-01,-1.591185053586368303e+00
5.624787261876850186e-01,5.423794047079041336e-01,3.624960810054650429e-01,6.995535328987273482e-01,2.782506031979116723e-01,-1.592512130105554480e+00
5.631782797205837632e-01,5.426576553111019940e-01,3.609035688753595150e-01,7.014135783880304231e-01,2.737306370101911801e-01,-1.593689988000188462e+00
5.638796932989718069e-01,5.429313859481121884e-01,3.593098788873593241e-01,7.032658968105872654e-01,2.691957482357931752e-01,-1.594723731927261579e+00
5.645829591957823856e-01,5.432005816963479949e-01,3.577151551554320630e-01,7.051097655540615738e-01,2.646478618968206020e-01,-1.595616769329701867e+00
5.652880689613364318e-01,5.434652295582448334e-01,3.561195383861023855e-01,7.069445130534768307e-01,2.600901651168434081e-01,-1.596371321263948317e+00
5.659950134743899630e-01,5.437253197233616886e-01,3.545231670648384403e-01,7.087694995742042092e-01,2.555257014272424021e-01,-1.596989664465495951e+00
5.667037829739641763e-01,5.439808454247889724e-01,3.529261774003729646e-01,7.105841226651633535e-01,2.509573729513888685e-01,-1.597474121776357059e+00
5.674143670966292907e-01,5.442318027977404160e-01,3.513287032785966102e-01,7.123878119593882730e-01,2.463879436318271443e-01,-1.597827050845799679e+00
5.681267549085886603e-01,5.444781907413722699e-01,3.497308762277507865e-01,7.141800284915434949e-01,2.418200418546060937e-01,-1.598050833926271341e+00
5.688409349370802115e-01,5.447200107832268490e-01,3.481328253938245076e-01,7.159602663694740743e-01,2.372561659976735182e-01,-1.598147870864027764e+00
5.695568952034496535e-01,5.449572669492245280e-01,3.465346775229604659e-01,7.177280502162537434e-01,2.326986880298916593e-01,-1.598120569973662253e+00
5.702746232536659576e-01,5.451899656372544145e-01,3.449365569529868059e-01,7.194829331444252407e-01,2.281498575781475135e-01,-1.597971343274402267e+00
5.709941061868103462e-01,5.454181154948325450e-01,3.433385856097124211e-01,7.212244964987462037e-01,2.236118071193586854e-01,-1.597702597480758602e+00
5.717153306833090420e-01,5.456417273019519287e-01,3.417408830122316554e-01,7.229523475576919989e-01,2.190865562302765635e-01,-1.597316730258977913e+00
5.724382830308667458e-01,5.458608138581821922e-01,3.401435662819726757e-01,7.246661207779363512e-01,2.145760163983906343e-01,-1.596816125762106964e+00
5.731629491516446739e-01,5.460753898745805968e-01,3.385467501562105519e-01,7.263654755774114902e-01,2.100819957749476830e-01,-1.596203150014984473e+00
5.738893146272220358e-01,5.462854718703555879e-01,3.369505470061955887e-01,7.280500932047786478e-01,2.056062036065129106e-01,-1.595480145781598136e+00
5.746173647204267931e-01,5.464910780739621332e-01,3.353550668604139973e-01,7.297196779985577475e-01,2.011502550016952273e-01,-1.594649432097368758e+00
5.753470843984253014e-01,5.466922283289638029e-01,3.337604174283166358e-01,7.313739748798375739e-01,1.967153599903158356e-01,-1.593713522127895743e+00
5.760784583733051800e-01,5.468889436889541322e-01,3.321667039061887428e-01,7.330127827126413642e-01,1.923020457150607099e-01,-1.592675300009699368e+00
5.768114711560178298e-01,5.470812457346692081e-01,3.305740286061790156e-01,7.346358692157959336e-01,1.879116943966030462e-01,-1.591536932436698359e+00
5.775461070252336793e-01,5.472691574290657890e-01,3.289824916737423277e-01,7.362430204271757095e-01,1.835456123689562791e-01,-1.590300556230581197e+00
5.782823500456608645e-01,5.474527030414347850e-01,3.273921911175117216e-01,7.378340389396454979e-01,1.792050342651269335e-01,-1.588968274584778628e+00
5.790201840846005421e-01,5.476319080756999469e-01,3.258032228429269539e-01,7.394087429849016679e-01,1.748911259401719487e-01,-1.587542157968580003e+00
5.797595928275854904e-01,5.478067992016401044e-01,3.242156806849583739e-01,7.409669669176278672e-01,1.706049882083129354e-01,-1.586024244366413649e+00
5.805005597945031015e-01,5.479774041898484160e-01,3.226296564405919387e-01,7.425066324317566302e-01,1.663485584625253866e-01,-1.584415572291757224e+00
5.812430664269349068e-01,5.481437527483109529e-01,3.210452408683001635e-01,7.440248626580403535e-01,1.621240931213362435e-01,-1.582716801888918390e+00
5.819870912895929171e-01,5.483058768414322826e-01,3.194625240664112353e-01,7.455215368894712036e-01,1.579325077026641488e-01,-1.580929976245356139e+00
5.827326128264823657e-01,5.484638093491349675e-01,3.178815940901658643e-01,7.469965466968774281e-01,1.537746603385547195e-01,-1.579057101294646381e+00
5.834796093731792199e-01,5.486175840094734690e-01,3.163025369888712302e-01,7.484498002306165798e-01,1.496513554713248262e-01,-1.577100143806494659e+00
5.842280591734098083e-01,5.487672353649447610e-01,3.147254368450647100e-01,7.498812150530651532e-01,1.455633463310203324e-01,-1.575061032806557071e+00
5.849779403884628470e-01,5.489127987112757401e-01,3.131503758122581305e-01,7.512907210313140016e-01,1.415113376886736607e-01,-1.572941660929364271e+00
5.857292311094941528e-01,5.490543100489644335e-01,3.115774341513287693e-01,7.526782588695645204e-01,1.374959879076517455e-01,-1.570743882233651467e+00
5.864819093683637519e-01,5.491918060368721211e-01,3.100066902690951087e-01,7.540437818217230470e-01,1.335179114246460852e-01,-1.568469515574657303e+00
5.872359531501855079e-01,5.493253239482968064e-01,3.084382207535204534e-01,7.553872522890161534e-01,1.295776800815591490e-01,-1.566120342937071364e+00
5.879913404024744716e-01,5.494549016283784004e-01,3.068721004105833816e-01,7.567086398391821289e-01,1.256758262258364511e-01,-1.563698110912490336e+00
5.887480490423137036e-01,5.495805774546042022e-01,3.053084022996708780e-01,7.580083984292430577e-01,1.218133196636480425e-01,-1.561204062092266920e+00
5.895060574407429144e-01,5.497023907742678572e-01,3.037471982375786195e-01,7.592866192113266743e-01,1.179906665994351761e-01,-1.558639822128587094e+00
5.902653440599542334e-01,5.498203814408673118e-01,3.021885584154500592e-01,7.605444619902848036e-01,1.142089954440136390e-01,-1.556006897554703450e+00
5.910258885219444869e-01,5.499345904363113213e-01,3.006325515178953633e-01,7.617824102333218272e-01,1.104689536914602588e-01,-1.553306881528664807e+00
5.917876709321777673e-01,5.500450593900028107e-01,2.990792446363667034e-01,7.630061268491028503e-01,1.067702297280799378e-01,-1.550542166707793656e+00
5.925506770590268646e-01,5.501518296197308588e-01,2.975287024696589011e-01,7.642156304197984529e-01,1.031130252930825969e-01,-1.547714360572920889e+00
5.933148926894467046e-01,5.502549426450239478e-01,2.959809881090859629e-01,7.654109258853454278e-01,9.949751759833933007e-02,-1.544825032478648330e+00
5.940803036153320393e-01,5.503544401626222493e-01,2.944361630766073046e-01,7.665920212695711555e-01,9.592385827234702067e-02,-1.541875715977061523e+00
5.948468956366016469e-01,5.504503640208946447e-01,2.928942873606302233e-01,7.677589314416329858e-01,9.239217586084426392e-02,-1.538867910874883060e+00
5.956146545680433002e-01,5.505427561967555228e-01,2.913554194497553484e-01,7.689116747050664946e-01,8.890257630422221391e-02,-1.535803084504954397e+00
5.963835662427483530e-01,5.506316587730597512e-01,2.898196163652503876e-01,7.700502741069290558e-01,8.545514335431528274e-02,-1.532682671430146248e+00
5.971536165168552790e-01,5.507171139164140916e-01,2.882869336938202465e-01,7.711747576431201567e-01,8.204994016390790290e-02,-1.529508075490650043e+00
5.979247912744983795e-01,5.507991638565780113e-01,2.867574256183296200e-01,7.722851570730219217e-01,7.868701134360089888e-02,-1.526280669750308627e+00
5.986970764315714399e-01,5.508778508679216257e-01,2.852311449485793182e-01,7.733815075681487183e-01,7.536638183158628213e-02,-1.523001796857927692e+00
5.994704579391395560e-01,5.509532172497532132e-01,2.837081431517213814e-01,7.744638483571444354e-01,7.208805894302866557e-02,-1.519672771938569644e+00
6.002449217874966658e-01,5.510253053086962005e-01,2.821884703797827854e-01,7.755322206676511509e-01,6.885203305351990377e-02,-1.516294880416575008e+00
6.010204540081642843e-01,5.510941573417497130e-01,2.806721754993661833e-01,7.765866709543195467e-01,6.565827823466158231e-02,-1.512869381994280227e+00
6.017970406791186555e-01,5.511598156199843945e-01,2.791593061173718859e-01,7.776272482010941900e-01,6.250675256216330078e-02,-1.509397509099720924e+00
6.025746679273197293e-01,5.512223223725465360e-01,2.776499086082721557e-01,7.786540027707856693e-01,5.939739952085668073e-02,-1.505880468566578312e+00
6.033533219300905026e-01,5.512817197720674134e-01,2.761440281397055663e-01,7.796669884012340512e-01,5.633014785713358341e-02,-1.502319440472493106e+00
6.041329889184917645e-01,5.513380499199245222e-01,2.746417086992331003e-01,7.806662624130216166e-01,5.330491285115157574e-02,-1.498715582101156407e+00
6.049136551809047857e-01,5.513913548327756819e-01,2.731429931171319714e-01,7.816518846337586757e-01,5.032159647898338389e-02,-1.495070026626736936e+00
6.056953070655385352e-01,5.514416764292546791e-01,2.716479230905052278e-01,7.826239160743794221e-01,4.738008776311335851e-02,-1.491383882351708712e+00
6.064779309816129560e-01,5.514890565170177394e-01,2.701565392081535233e-01,7.835824231310567489e-01,4.448026345277936860e-02,-1.487658236719975990e+00
6.072615134047439911e-01,5.515335367804705680e-01,2.686688809714335435e-01,7.845274700175924876e-01,4.162198965278879337e-02,-1.483894153943472904e+00
6.080460408747615508e-01,5.515751587701233083e-01,2.671849868174900888e-01,7.854591262810800556e-01,3.880511973295677763e-02,-1.480092675961585336e+00
6.088315000010425804e-01,5.516139638898562847e-01,2.657048941415284804e-01,7.863774608360754037e-01,3.602949736752974336e-02,-1.476254825453479302e+00
6.096178774618786766e-01,5.516499933872238692e-01,2.642286393160749869e-01,7.872825462513728390e-01,3.329495483255399957e-02,-1.472381602933025668e+00
6.104051600081300544e-01,5.516832883420563771e-01,2.627562577131419830e-01,7.881744581900300695e-01,3.060131555623199842e-02,-1.468473989558350956e+00
6.111933344663200707e-01,5.517138896576125884e-01,2.612877837235836331e-01,7.890532710699971197e-01,2.794839235900797858e-02,-1.464532945571207279e+00
6.119823877373901100e-01,5.517418380499715669e-01,2.598232507780124378e-01,7.899189104095021285e-01,2.533571246025274545e-02,-1.460559492515191460e+00
6.127723066477995806e-01,5.517671737624317840e-01,2.583626912854972701e-01,7.907713789700677731e-01,2.276293545323262307e-02,-1.456554588729049637e+00
6.135630780267696815e-01,5.517899366978850084e-01,2.569061366967682059e-01,7.916107691005573876e-01,2.022987150302713727e-02,-1.452519125669946565e+00
6.143546887958701852e-01,5.518101665693880831e-01,2.554536175710982460e-01,7.924371721771327204e-01,1.773632189475394041e-02,-1.448453977142243776e+00
6.151471259680473258e-01,5.518279028912828066e-01,2.540051635939560293e-01,7.932506831668043601e-01,1.528208013839823035e-02,-1.444360001324809240e+00
6.159403766512141498e-01,5.518431849714211523e-01,2.525608035926312223e-01,7.940513968822280333e-01,1.286693183222699030e-02,-1.440238039485344013e+00
6.167344280480964169e-01,5.518560519032533751e-01,2.511205655531458802e-01,7.948394090304423676e-01,1.049065431709223645e-02,-1.436088915143943989e+00
6.175292674571268847e-01,5.518665425575705052e-01,2.496844766380019454e-01,7.956148179543830468e-01,8.153017200051317775e-03,-1.431913437908886477e+00
6.183248822750813112e-01,5.518746955747705352e-01,2.482525632000930627e-01,7.963777189263219203e-01,5.853783469421728475e-03,-1.427712400855578156e+00
6.191212599940075778e-01,5.518805493582399357e-01,2.468248507992374940e-01,7.971282144759772592e-01,3.592708175626703731e-03,-1.423486581637192661e+00
