# px,py,pz,vx,vy,vz
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.000000000000000000e+00
5.004999999999999449e-01,5.004999999999999449e-01,4.989999999999999991e-01,4.979622316360473588e-01,4.942256417870521390e-01,-1.002120352821731508e+00
5.009979622316359515e-01,5.009942256417869721e-01,4.979978796471782876e-01,4.959285442829132196e-01,4.884757617712020550e-01,-1.004232889328765754e+00
5.014938907759188824e-01,5.014827014035582176e-01,4.969936467578495165e-01,4.938989384174347075e-01,4.827502560615539173e-01,-1.006337625256729096e+00
5.019877897143363299e-01,5.019654516596198102e-01,4.959873091325928129e-01,4.918735814094543635e-01,4.770488737225532239e-01,-1.008434671231841939e+00
5.024796632957457820e-01,5.024425005333423844e-01,4.949788744613609626e-01,4.898567934036254790e-01,4.713676839470862800e-01,-1.010526475216865450e+00
5.029695200891494133e-01,5.029138682172894503e-01,4.939683479861440851e-01,4.878485293388366562e-01,4.657066154479980180e-01,-1.012613039834403983e+00
5.034573686184882213e-01,5.033795748327374309e-01,4.929557349463096760e-01,4.858487429618835174e-01,4.600655973553657296e-01,-1.014694368422317527e+00
5.039432173614500909e-01,5.038396404300927722e-01,4.919410405778873452e-01,4.838573887348174840e-01,4.544445594549179068e-01,-1.016770464199256985e+00
5.044270747501848895e-01,5.042940849895476418e-01,4.909242701136881104e-01,4.818744213581084845e-01,4.488434311747551142e-01,-1.018841330383873034e+00
5.049089491715430533e-01,5.047429284207224365e-01,4.899054287833042309e-01,4.798997969627379900e-01,4.432621427178383144e-01,-1.020906969837188871e+00
5.053888489685057772e-01,5.051861905634402738e-01,4.888845218134670323e-01,4.779334702491759845e-01,4.377006241679191612e-01,-1.022967386016273572e+00
5.058667824387549361e-01,5.056238911876081987e-01,4.878615544274507720e-01,4.759753968715667583e-01,4.321588059663772352e-01,-1.025022581543731715e+00
5.063427578356265446e-01,5.060560499935745638e-01,4.868365318459070279e-01,4.740255329608917267e-01,4.266366190910338974e-01,-1.027072559757423509e+00
5.068167833685874868e-01,5.064826866126656002e-01,4.858094592861496031e-01,4.720838336944579994e-01,4.211339942216872911e-01,-1.029117324114418031e+00
