px,pz,theta,vx,vz,theta_dot
-1.500000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.500000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.371770635750788677e-04,-6.189203394449424578e-02
-1.500000000000000000e+00,9.999986282293643614e-02,-6.189203394449425218e-05,0.000000000000000000e+00,-1.880715943843114322e-04,-2.042805484763412782e-01
-1.500000000000000000e+00,9.999967475134205475e-02,-2.661725824208355305e-04,5.999994372182321578e-07,-3.037798057157256983e-04,-1.500290696172655314e-01
-1.499999999400000616e+00,9.999937097153634158e-02,-4.162016520381010788e-04,3.192538637386434434e-06,-3.737114810076445090e-04,-5.623548971219784198e-02
-1.499999996207461939e+00,9.999899726005533063e-02,-4.724371417502989208e-04,7.243403082441556508e-06,-4.507750755024098185e-04,-1.802424339541940645e-01
-1.499999988964058950e+00,9.999854648497982779e-02,-6.526795757044929515e-04,1.182825043544289213e-05,-5.561041114299812094e-04,-1.158241359313299523e-01
-1.499999977135808571e+00,9.999799038086840119e-02,-7.685037116358228856e-04,1.842664290058683806e-05,-2.564089810582501701e-04,1.330846332137818333e-01
-1.499999958709165693e+00,9.999773397188733981e-02,-6.354190784220410193e-04,2.586042208585552461e-05,-3.933552153360740222e-04,6.732330075575979067e-02
-1.499999932848743667e+00,9.999734061667200913e-02,-5.680957776662812122e-04,3.200457226366179873e-05,-5.339109705254526089e-04,1.167807949967045872e-02
-1.499999900844171341e+00,9.999680670570147700e-02,-5.564176981666107014e-04,3.749918900664302694e-05,-6.719219012610935533e-04,-4.660345824121504138e-02
-1.499999863344982254e+00,9.999613478380021958e-02,-6.030211564078257359e-04,4.290059753661337559e-05,-7.744521526507029685e-04,-1.488871678899264528e-01
-1.499999820444384735e+00,9.999536033164756199e-02,-7.519083242977521973e-04,4.877611268205724976e-05,-8.409889742374581549e-04,-5.333779999222793000e-02
-1.499999771668272031e+00,9.999451934267332420e-02,-8.052461242899801308e-04,5.608789949144105471e-05,-9.266845674906747793e-04,-1.698504124626438461e-01
-1.499999715580372595e+00,9.999359265810583985e-02,-9.750965367526239587e-04,6.390939206824881218e-05,-1.023516567876415085e-03,-9.842602786116161351e-02
-1.499999651670980594e+00,9.999256914153796527e-02,-1.073522564613785561e-03,1.033810288872948101e-04,2.964619269295862627e-02,1.805757103788015350e+00
-1.499999548289951745e+00,1.000222153342309184e-01,7.322345391742297958e-04,1.144073217696603320e-04,3.010732160078842187e-02,1.471470327689648139e+00
-1.499999433882629907e+00,1.000523226558317075e-01,2.203704866863877895e-03,1.066084936388261655e-04,3.094804390323992183e-02,1.072478155944499800e+00
-1.499999327274136318e+00,1.000832706997349525e-01,3.276183022808377802e-03,8.277922374848642852e-05,3.195130282665051974e-02,6.498912167746342394e-01
-1.499999244494912620e+00,1.001152220025616074e-01,3.926074239583012167e-03,4.381825111256195716e-05,3.403344467902520709e-02,8.434656875964186007e-02
