px,py,pz,vx,vy,vz,phi,theta,psi
1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000999999999999890e+00,1.000999999999999890e+00,-9.989999999999999991e-01,9.884020717057915295e-01,1.006266387400654105e+00,1.005786398921455937e+00,9.915039899770469178e-01,9.871305241690908616e-01,1.002198326506633874e+00
1.001988402071705586e+00,1.002006266387400535e+00,-9.979942136010785392e-01,9.768674500508832681e-01,1.012641261319431329e+00,1.011426227382129062e+00,9.829744722008150193e-01,9.740579690376686139e-01,1.004519226035920365e+00
1.002965269521756575e+00,1.003018907648719926e+00,-9.969827873736963886e-01,9.654026261112089724e-01,1.019122660420253679e+00,1.016916986619868846e+00,9.744049354339965330e-01,9.607753843581107178e-01,1.006967862841907424e+00
1.003930672147867798e+00,1.004038030309140073e+00,-9.959658703870765128e-01,9.540144592572573634e-01,1.025708309312195921e+00,1.022256304127080240e+00,9.657882549148033569e-01,9.472755652135480542e-01,1.009549653008828818e+00
1.004884686607125044e+00,1.005063738618452218e+00,-9.949436140829494013e-01,9.427101954488140700e-01,1.032395585423945938e+00,1.027441957654513294e+00,9.571166265713008103e-01,9.335510830442075303e-01,1.012270261963656548e+00
1.005827396802573936e+00,1.006096134203876113e+00,-9.939161721252949278e-01,9.314974829557638447e-01,1.039181483795783123e+00,1.032471901640085843e+00,9.483814952792428699e-01,9.195943274322846417e-01,1.015135597084197316e+00
1.006758894285529671e+00,1.007135315687671895e+00,-9.928837002236547971e-01,9.203843850416538741e-01,1.046062579788707758e+00,1.037344296215269024e+00,9.395734769807133624e-01,9.053975610739990465e-01,1.018151793948664174e+00
1.007679278670571277e+00,1.008181378267460682e+00,-9.918463559274395269e-01,9.093793875695769247e-01,1.053034990696140927e+00,1.042057538248194026e+00,9.306822749707912568e-01,8.909529903398172301e-01,1.021325194713234907e+00
1.008588658058140908e+00,1.009234413258156771e+00,-9.908042983891913735e-01,8.984913994896116529e-01,1.060094337399914766e+00,1.046610293712377571e+00,9.216965905784784141e-01,8.762528548805799122e-01,1.024662316449266530e+00
1.009487149457630517e+00,1.010294507595556723e+00,-9.897576880954790379e-01,8.877297452613287509e-01,1.067235706651134652e+00,1.051001531027732083e+00,9.126040291988654074e-01,8.612895397662591046e-01,1.028169807134940772e+00
1.010374879202891929e+00,1.011361743302207961e+00,-9.887066865644512648e-01,8.771041447313698836e-01,1.074453617034441200e+00,1.055230553101752067e+00,9.033910028531894065e-01,8.460557137698960783e-01,1.031854386658801026e+00
1.011251983347623229e+00,1.012436196919242359e+00,-9.876514560113495156e-01,8.666246787642561955e-01,1.081741990240883577e+00,1.059297026677906706e+00,8.940426313194944630e-01,8.305444983961181027e-01,1.035722769606501004e+00
1.012118608026387534e+00,1.013517938909483274e+00,-9.865921589846715634e-01,8.563017361517282211e-01,1.089094131491405770e+00,1.063201005708123592e+00,8.845426444171509139e-01,8.147496718244484626e-01,1.039781566425326043e+00
1.012974909762539344e+00,1.014607033040974660e+00,-9.855289579789634491e-01,8.461459390348360365e-01,1.096502722342128200e+00,1.066942945608978066e+00,8.748732895668024367e-01,7.986659123764336954e-01,1.044037159248052182e+00
1.013821055701574103e+00,1.015703535763316845e+00,-9.844620150333545094e-01,8.361680414667532757e-01,1.103959831578613660e+00,1.070523702875761041e+00,8.650152491654926612e-01,7.822890856662988446e-01,1.048495548371792374e+00
1.014657223743040904e+00,1.016807495594895361e+00,-9.833914913304787619e-01,8.263787984058753588e-01,1.111456948832864056e+00,1.073944514785174942e+00,8.549475745151190464e-01,7.656165791305902246e-01,1.053162165549411666e+00
1.015483602541446873e+00,1.017918952543728217e+00,-9.823175468156936097e-01,8.167888012094941530e-01,1.118985047291502166e+00,1.077206951791152445e+00,8.446476443445035676e-01,7.486476869432183712e-01,1.058041650306092984e+00
1.016300391342656262e+00,1.019037937591019682e+00,-9.812403398639024665e-01,8.074082777647872966e-01,1.126534681280069172e+00,1.080312834778638376e+00,8.340911577185875503e-01,7.313840462505605267e-01,1.063137586323025685e+00
1.017107799620420971e+00,1.020164472272299783e+00,-9.801600270291238592e-01,7.982468568611128523e-01,1.134096124264562633e+00,1.083264108484952137e+00,8.232521736182476513e-01,7.138301248011320599e-01,1.068452195572072272e+00
1.017906046477282000e+00,1.021298568396564299e+00,-9.790767629206389433e-01,7.893132994446363515e-01,1.141659551115869364e+00,1.086062662686438474e+00,8.121032112670197867e-01,6.959937565971689999e-01,1.073985989666804919e+00
1.018695359776726539e+00,1.022440227947680080e+00,-9.779907002579525388e-01,7.806152027762255363e-01,1.149215266064330665e+00,1.088710093678629143e+00,8.006154280725191752e-01,6.778867201261515874e-01,1.079737379615130166e+00
1.019475974979502819e+00,1.023589443213744454e+00,-9.769019901642739256e-01,7.721586885409668088e-01,1.156753973256125834e+00,1.091207401606242744e+00,7.887588943090145799e-01,6.595253497285180622e-01,1.085702247927556430e+00
1.020248133668043788e+00,1.024746197187000663e+00,-9.758107827626676389e-01,7.639480906486073586e-01,1.164267081537311288e+00,1.093554623439057405e+00,7.765029865426349431e-01,6.409311670895193602e-01,1.091873490163638660e+00
1.021012081758692291e+00,1.025910464268537936e+00,-9.747172281392285642e-01,7.559856648402218937e-01,1.171747026971069916e+00,1.095750409244611090e+00,7.638169241334301640e-01,6.221315155723806667e-01,1.098240536705684001e+00
1.021768067423532544e+00,1.027082211295508918e+00,-9.736214777299839751e-01,7.482713449777672610e-01,1.179187590136590913e+00,1.097791557079332625e+00,7.506704757642580494e-01,6.031601723392310266e-01,1.104788871575173914e+00
