sxe,sye,delta,ve,psi_e,psi_e_dot,beta,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.465078305453062057e-03,-2.337715122848749161e-03,0.000000000000000000e+00,8.456185460090637207e-03,5.274623981676995754e-04,-4.012670711123775824e-01,9.995987329288875678e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.406399169581201612e-03,8.412541115450889243e-03
-2.338409558433340862e-06,5.273391252558212727e-06,6.930156610906124115e-03,-4.675430245697498322e-03,8.456186151306610554e-06,1.704581640660762787e-02,1.077864086255431175e-03,-4.012670711123775824e-01,9.991974658577751356e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.081617357954944153e-02,1.682291214372620691e-02
-7.022113095445092767e-06,1.613057247595861554e-05,1.039523445069789886e-02,-7.013145368546247482e-03,2.550200224504806101e-05,2.576555684208869934e-02,1.650549704208970070e-03,-4.012670711123775824e-01,9.987961987866627034e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.622932235884848307e-02,2.523111173062787121e-02
-1.405525836162269115e-05,3.287650906713679433e-05,1.386031322181224823e-02,-9.350860491394996643e-03,5.126756150275468826e-05,3.461215272545814514e-02,2.244881819933652878e-03,-4.012670711123775824e-01,9.983949317155502712e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.164584463587876720e-02,3.363713852230743734e-02
-2.344497625017538667e-05,5.581087316386401653e-05,1.732539199292659760e-02,-1.168857514858245850e-02,8.587971387896686792e-05,4.358242824673652649e-02,2.860240405425429344e-03,-4.012670711123775824e-01,9.979936646444378390e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.706573953849755049e-02,4.204099116526631430e-02
-3.519947495078667998e-05,8.522819553036242723e-05,2.079047076404094696e-02,-1.402628980576992035e-02,1.294621470151469111e-04,5.267328023910522461e-02,3.496022894978523254e-03,-4.012670711123775824e-01,9.975923975733254068e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.248900619401904472e-02,5.044266830635598525e-02
-4.932612137054093182e-05,1.214179937960579991e-04,2.425554953515529633e-02,-1.636400446295738220e-02,1.821354380808770657e-04,6.188169121742248535e-02,4.151643719524145126e-03,-4.012670711123775824e-01,9.971911305022129746e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.791564372921455567e-02,5.884216859277821565e-02
-6.583239883184432983e-05,1.646649470785632730e-04,2.772062830626964569e-02,-1.870171912014484406e-02,2.440171374473720789e-04,7.120470702648162842e-02,4.826532676815986633e-03,-4.012670711123775824e-01,9.967898634311005424e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.334565127031263232e-02,6.723949067208528918e-02
-8.472877379972487688e-05,2.152489905711263418e-04,3.118570707738399506e-02,-2.103943377733230591e-02,3.152218414470553398e-04,8.063944429159164429e-02,5.520136095583438873e-03,-4.012670711123775824e-01,9.963885963599881102e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.877902794299919520e-02,7.563463319218019509e-02
-1.060239083017222583e-04,2.734454756136983633e-04,2.699552290141582489e-02,-1.980522647500038147e-02,3.958612796850502491e-04,9.018608927726745605e-02,6.018963176757097244e-03,-4.012670711123775824e-01,9.959873292888756779e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.421577287241768905e-02,8.402759480131688496e-02
-1.261436264030635357e-04,3.374236985109746456e-04,2.280533872544765472e-02,-1.857101917266845703e-02,4.860473563894629478e-04,9.919618070125579834e-02,6.451968569308519363e-03,-4.012670711123775824e-01,9.955860622177632457e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.965588518316921468e-02,9.241837414810046003e-02
-1.450902491342276335e-04,4.066238470841199160e-04,1.861515454947948456e-02,-1.733681187033653259e-02,5.852435715496540070e-04,1.076808571815490723e-01,6.821030750870704651e-03,-4.012670711123775824e-01,9.951847951466508135e-01,1.000000000000000000e+01,0.000000000000000000e+00,6.509936399931266771e-02,1.008069698814873932e-01
-1.628639583941549063e-04,4.804992931894958019e-04,1.442497037351131439e-02,-1.610260456800460815e-02,6.929244264028966427e-04,1.156510189175605774e-01,7.127977907657623291e-03,-4.012670711123775824e-01,9.947835280755383813e-01,1.000000000000000000e+01,0.000000000000000000e+00,7.054620844436489124e-02,1.091933806507857652e-01
-1.794647396309301257e-04,5.585162434726953506e-04,1.023478619754314423e-02,-1.486839726567268372e-02,8.085754234343767166e-04,1.231173425912857056e-01,7.374590262770652771e-03,-4.012670711123775824e-01,9.943822610044259491e-01,1.000000000000000000e+01,0.000000000000000000e+00,7.599641764130081467e-02,1.175776051056554583e-01
-1.948923309100791812e-04,6.401533028110861778e-04,6.044602021574974060e-03,-1.363418996334075928e-02,9.316927753388881683e-04,1.300902962684631348e-01,7.562599144876003265e-03,-4.012670711123775824e-01,9.939809939333135169e-01,1.000000000000000000e+01,0.000000000000000000e+00,8.144999071255358547e-02,1.259596418961083930e-01
-2.091434143949300051e-04,7.249012123793363571e-04,1.854417845606803894e-03,-1.239998266100883484e-02,1.061783055774867535e-03,1.365801095962524414e-01,7.693690247833728790e-03,-4.012670711123775824e-01,9.935797268622010847e-01,1.000000000000000000e+01,0.000000000000000000e+00,8.690692678001471494e-02,1.343394896725087495e-01
-2.222163893748074770e-04,8.122623548842966557e-04,-2.335766330361366272e-03,-1.116577535867691040e-02,1.198363141156733036e-03,1.425968259572982788e-01,7.769504096359014511e-03,-4.012670711123775824e-01,9.931784597910886525e-01,1.000000000000000000e+01,0.000000000000000000e+00,9.236722496503421698e-02,1.427171470855731483e-01
-2.341094368603080511e-04,9.017505217343568802e-04,-6.525950506329536438e-03,-9.931568056344985962e-03,1.340959919616580009e-03,1.481502801179885864e-01,7.791636511683464050e-03,-4.012670711123775824e-01,9.927771927199762203e-01,1.000000000000000000e+01,0.000000000000000000e+00,9.783088438842076073e-02,1.510926127863709001e-01
-2.448195882607251406e-04,9.928905637934803963e-04,-1.071613468229770660e-02,-8.697360754013061523e-03,1.489110174588859081e-03,1.532500833272933960e-01,7.761640474200248718e-03,-4.012670711123775824e-01,9.923759256488637881e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.032979041704418094e-01,1.594658854263241998e-01
-2.543427690397948027e-04,1.085218042135238647e-03,-4.507905337959527969e-03,-1.086674258112907410e-02,1.642360235564410686e-03,1.573696881532669067e-01,7.775745354592800140e-03,-4.012670711123775824e-01,9.919746585777513559e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.087682834308237451e-01,1.678369636572084045e-01
-2.660878526512533426e-04,1.179193262942135334e-03,1.700324006378650665e-03,-1.303612440824508667e-02,1.799729885533452034e-03,1.619723141193389893e-01,7.864948362112045288e-03,-4.012670711123775824e-01,9.915733915066389237e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.142420212887520214e-01,1.762058461311521440e-01
-2.800631336867809296e-04,1.275605754926800728e-03,7.908552885055541992e-03,-1.520550623536109924e-02,1.961702248081564903e-03,1.670463681221008301e-01,8.027042262256145477e-03,-4.012670711123775824e-01,9.911721244355264915e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.197191168628713165e-01,1.845725315006376543e-01
-2.962781873065978289e-04,1.375227235257625580e-03,1.411678269505500793e-02,-1.737488806247711182e-02,2.128748688846826553e-03,1.725805550813674927e-01,8.259880356490612030e-03,-4.012670711123775824e-01,9.907708573644140593e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.251995692712856711e-01,1.929370184185008885e-01
-3.147438401356339455e-04,1.478812308050692081e-03,2.032501250505447388e-02,-1.954426988959312439e-02,2.301329281181097031e-03,1.785638183355331421e-01,8.561375550925731659e-03,-4.012670711123775824e-01,9.903695902933016271e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.306833776315586004e-01,2.012993055379318219e-01
-3.354712098371237516e-04,1.587098580785095692e-03,2.653324231505393982e-02,-2.171365171670913696e-02,2.479893155395984650e-03,1.849853992462158203e-01,8.929500356316566467e-03,-4.012670711123775824e-01,9.899683232221891949e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.361705410607132738e-01,2.096593915124746188e-01
-3.584707737900316715e-04,1.700807712040841579e-03,3.274147212505340576e-02,-2.388303354382514954e-02,2.664878498762845993e-03,1.918347775936126709e-01,9.362283162772655487e-03,-4.012670711123775824e-01,9.895670561510767627e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.416610586752326539e-01,2.180172749960278822e-01
-3.837570839095860720e-04,1.820645411498844624e-03,3.894970193505287170e-02,-2.605241537094116211e-02,2.856713254004716873e-03,1.991017013788223267e-01,9.857806377112865448e-03,-4.012670711123775824e-01,9.891657890799643305e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.471549295910596356e-01,2.263729546428447925e-01
-4.113459726795554161e-04,1.947301905602216721e-03,4.515793174505233765e-02,-2.822179719805717468e-02,3.055814886465668678e-03,2.067761421203613281e-01,1.041420735418796539e-02,-4.012670711123775824e-01,9.887645220088518982e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.526521529235971286e-01,2.347264291075334408e-01
-4.412544949445873499e-04,2.081452868878841400e-03,5.136616155505180359e-02,-3.039117902517318726e-02,3.262591082602739334e-03,2.148483246564865112e-01,1.102967467159032822e-02,-4.012670711123775824e-01,9.883632549377394660e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.581527277877083082e-01,2.430776970450569396e-01
-4.734980175271630287e-04,2.223759191110730171e-03,4.309865087270736694e-02,-2.815618738532066345e-02,3.477439517155289650e-03,2.230550348758697510e-01,1.147294044494628906e-02,-4.012670711123775824e-01,9.879619878666270338e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.636566532977166699e-01,2.514267571107337562e-01
-5.036614602431654930e-04,2.372646471485495567e-03,3.483114019036293030e-02,-2.592119574546813965e-02,3.700494533404707909e-03,2.304633259773254395e-01,1.181218959391117096e-02,-4.012670711123775824e-01,9.875607207955146016e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.691639285674062243e-01,2.597736079602377401e-01
-5.317350733093917370e-04,2.527162898331880569e-03,2.656362950801849365e-02,-2.368620410561561584e-02,3.930957987904548645e-03,2.370890229940414429e-01,1.205026451498270035e-02,-4.012670711123775824e-01,9.871594537244021694e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.746745527100216078e-01,2.681182482495985675e-01
-5.577096599154174328e-04,2.686376450583338737e-03,1.829611882567405701e-02,-2.145121246576309204e-02,4.168047104030847549e-03,2.429476678371429443e-01,1.218993216753005981e-02,-4.012670711123775824e-01,9.867581866532897372e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.801885248382682492e-01,2.764606766352018519e-01
-5.815737531520426273e-04,2.849374199286103249e-03,1.002860721200704575e-02,-1.921622082591056824e-02,4.410994704812765121e-03,2.480544745922088623e-01,1.223388966172933578e-02,-4.012670711123775824e-01,9.863569195821773050e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.857058440643124808e-01,2.848008917737892554e-01
