sxe,sye,delta,ve,psi_e,psi_e_dot,beta,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.465078305453062057e-03,-2.337715122848749161e-03,0.000000000000000000e+00,-3.161055792588740587e-05,-1.971737674466567114e-06,1.499999750000012523e-03,1.000001499999749965e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.403010436612651173e-03,8.414717952602736653e-03
-2.337455953238531947e-06,-1.971277008294691768e-08,6.930156610906124115e-03,-4.675430245697498322e-03,-3.161055772693543986e-08,2.256943116663023829e-04,3.951042162952944636e-05,2.999998000000400102e-03,1.000004499997749985e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.080599562906395944e-02,1.682945211418811204e-02
-7.013321464910404757e-06,3.749013046672189375e-07,1.039523445069789886e-02,-7.013145368546247482e-03,1.940837677238960168e-07,7.649748004041612148e-04,1.231525675393640995e-04,4.499993250003038112e-03,1.000008999991000014e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.620894295521363437e-02,2.524421058908518298e-02
-1.402664020133670419e-05,1.607544731996313203e-06,1.386031322181224823e-02,-9.350860491394996643e-03,9.590586387275834568e-07,1.579458126798272133e-03,2.476969966664910316e-04,5.999984000012800398e-03,1.000014999975000096e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.161183979284984208e-02,3.365900148142830089e-02
-2.337740443181246519e-05,4.091885330126387998e-06,1.732539199292659760e-02,-1.168857514858245850e-02,2.538516810091095977e-06,2.662534592673182487e-03,4.119212389923632145e-04,7.499968750039062194e-03,1.000022499943750143e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.701467351966536576e-02,4.207383289509219332e-02
-3.506655411911197007e-05,8.231849278672598302e-06,2.079047076404094696e-02,-1.402628980576992035e-02,5.201051862968597561e-06,4.007752984762191772e-03,6.146371015347540379e-04,8.999946000097200013e-03,1.000031499889750153e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.241743151323375760e-02,5.048871293362707652e-02
-4.909501876682043076e-05,1.442190477973781526e-05,2.425554953515529633e-02,-1.636400446295738220e-02,9.208804840454831719e-06,5.608816631138324738e-03,8.546897443011403084e-04,1.049991425021008784e-02,1.000041999804000437e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.782010115098549674e-02,5.890364970019374563e-02
-6.546275835717096925e-05,2.304734152858145535e-05,2.772062830626964569e-02,-1.870171912014484406e-02,1.481762228650040925e-05,7.459581829607486725e-03,1.130956807173788548e-03,1.199987200040959941e-02,1.000053999676000949e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.322266981018416110e-02,6.731865129749865784e-02
-8.417067874688655138e-05,3.448453935561701655e-05,3.118570707738399506e-02,-2.103943377733230591e-02,2.227720506198238581e-05,9.554050862789154053e-03,1.442347536794841290e-03,1.349981775073811480e-02,1.000067499493751733e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.862512486790260269e-02,7.573372582772906758e-02
