# sxe,sye,delta,ve,psi_e,psi_e_dot,beta,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.223584932740777731e-05,0.000000000000000000e+00,0.000000000000000000e+00,8.313884586095809937e-02,8.138219709508121014e-05,-8.138219006654301424e-02,9.999186178099334077e-01,1.000000000000000000e+01,0.000000000000000000e+00,5.403707848304577406e-03,8.414270110364387503e-03
0.000000000000000000e+00,8.138219982356531546e-07,6.223584932740777731e-05,0.000000000000000000e+00,1.756650931383774150e-06,8.485757559537887573e-02,1.592577318660914898e-04,-8.138219006654301424e-02,9.998372356198668154e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.080810045044324971e-02,1.682810042728597258e-02
-6.623062515087596580e-11,2.423965725029120222e-06,6.223584932740777731e-05,0.000000000000000000e+00,5.232035164226545021e-06,8.653920888900756836e-02,2.337399346288293600e-04,-8.138219006654301424e-02,9.997558534298002231e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.621317777062239451e-02,2.524149089503944718e-02
-2.634982787519390968e-10,4.813685336557682604e-06,6.223584932740777731e-05,0.000000000000000000e+00,1.038905338646145537e-05,8.818455040454864502e-02,3.049388760700821877e-04,-8.138219006654301424e-02,9.996744712397336308e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.161893977304385830e-02,3.365444145790241759e-02
-1.608920996432061656e-09,7.966964403749443591e-06,6.223584932740777731e-05,0.000000000000000000e+00,1.719140709610655904e-05,8.979436755180358887e-02,3.729614545591175556e-04,-8.138219006654301424e-02,9.995930890496670385e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.702538642190494694e-02,4.206695206015539229e-02
-3.210964383271175393e-09,1.186849294754210860e-05,6.223584932740777731e-05,0.000000000000000000e+00,2.560358188929967582e-05,9.136944264173507690e-02,4.379114834591746330e-04,-8.138219006654301424e-02,9.995117068596004462e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.243251768139843866e-02,5.047902264608180450e-02
-5.130522673368886899e-09,1.650364356464706361e-05,6.223584932740777731e-05,0.000000000000000000e+00,3.559083052095957100e-05,9.291051328182220459e-02,4.998897784389555454e-04,-8.138219006654301424e-02,9.994303246695338538e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.784033351571257364e-02,5.889065315996799832e-02
-7.427299664186648442e-09,2.185845005442388356e-05,6.223584932740777731e-05,0.000000000000000000e+00,4.711915244115516543e-05,9.441832453012466431e-02,5.589942447841167450e-04,-8.138219006654301424e-02,9.993489424794672615e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.324883388903105752e-02,6.730184354610323216e-02
-1.111353675753434800e-08,2.791958286252338439e-05,6.223584932740777731e-05,0.000000000000000000e+00,6.015528560965321958e-05,9.589359164237976074e-02,6.153199356049299240e-04,-8.138219006654301424e-02,9.992675602894006692e-01,1.000000000000000000e+01,0.000000000000000000e+00,4.865801876553306482e-02,7.571259374877968573e-02
