# sxe,sye,delta,ve,psi_e,psi_e_dot,beta,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.147103034782048780e-06,0.000000000000000000e+00,0.000000000000000000e+00,-1.532377558760344982e-03,-1.499999825682607479e-06,1.499999750000012523e-03,1.000001499999749965e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.403010436612651173e-03,8.414717952602736653e-03
0.000000000000000000e+00,-1.499999768839188619e-08,-2.294205160069395788e-06,0.000000000000000000e+00,-3.237779822029551724e-08,-3.096432425081729889e-03,-4.435364644450601190e-06,2.999998000000400102e-03,1.000004499997749985e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.080599562906395944e-02,1.682945211418811204e-02
-6.749989293636932119e-14,-5.967743277324188966e-08,-3.441304897933150642e-06,0.000000000000000000e+00,-1.288122746245790040e-07,-4.691479261964559555e-03,-8.743548278289381415e-06,4.499993250003038112e-03,1.000008999991000014e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.620894295521363437e-02,2.524421058908518298e-02
-4.255635557490200505e-13,-1.484010567764926236e-07,-4.588400770444422960e-06,0.000000000000000000e+00,-3.202984544259379618e-07,-6.316848099231719971e-03,-1.436402999388519675e-05,5.999984000012800398e-03,1.000014999975000096e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.161183979284984208e-02,3.365900148142830089e-02
-1.538566800005081170e-12,-2.952443480808142340e-07,-5.735492777603212744e-06,0.000000000000000000e+00,-6.371622021106304601e-07,-7.971880957484245300e-03,-2.123825834132730961e-05,7.499968750039062194e-03,1.000022499943750143e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.701467351966536576e-02,4.207383289509219332e-02
-4.195750084173832661e-12,-5.139985432833782397e-07,-6.882578873046441004e-06,0.000000000000000000e+00,-1.109074673877330497e-06,-9.655937552452087402e-03,-2.930959453806281090e-05,8.999946000097200013e-03,1.000031499889750153e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.241743151323375760e-02,5.048871293362707652e-02
-9.592691224691307639e-12,-8.181852422239899170e-07,-8.029656783037353307e-06,0.000000000000000000e+00,-1.765066599546116777e-06,-1.136838924139738083e-02,-3.852325608022511005e-05,1.049991425021008784e-02,1.000041999804000437e+00,1.000000000000000000e+01,0.000000000000000000e+00,3.782010115098549674e-02,5.890364970019374563e-02
-1.941080976508580136e-11,-1.221068487211596221e-06,-9.176728781312704086e-06,0.000000000000000000e+00,-2.633541498653357849e-06,-1.310862042009830475e-02,-4.882626672042533755e-05,1.199987200040959941e-02,1.000053999676000949e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.322266981018416110e-02,6.731865129749865784e-02
-3.589501265666150687e-11,-1.735666614877118263e-06,-1.032378986565163359e-05,0.000000000000000000e+00,-3.742289891306427307e-06,-1.487603038549423218e-02,-6.016740007908083498e-05,1.349981775073811480e-02,1.000067499493751733e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.862512486790260269e-02,7.573372582772906758e-02
-6.192957952011468592e-11,-2.374763425905257463e-06,-1.147084185504354537e-05,0.000000000000000000e+00,-5.118502031109528616e-06,-1.667002961039543152e-02,-7.249712507473304868e-05,1.499975000124999583e-02,1.000082499243752920e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.402745370099909517e-02,8.414888139248806465e-02
-1.011123823557724677e-10,-3.150919837935362011e-06,-1.261788111150963232e-05,0.000000000000000000e+00,-6.788780865463195369e-06,-1.849004067480564117e-02,-8.576756954425945878e-05,1.649966725201313170e-02,1.000098998911004955e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.942964368609354037e-02,9.256412609272972325e-02
-1.578275843350240848e-10,-4.076483492099214345e-06,-1.376490854454459623e-05,0.000000000000000000e+00,-8.779154995863791555e-06,-2.033550292253494263e-02,-9.993245475925505161e-05,1.799956800311039093e-02,1.000116998479008146e+00,1.000000000000000000e+01,0.000000000000000000e+00,6.483168219954363320e-02,1.009794680286941748e-01
